"","Nest","Site","Bee_ID","Behaviour","Num_females_con","Num_females_mod","Num_females_lib","videos","Date_beehav"
"1","J00","JAM","PiBP","pollen collection",1,1,1,"GP2_nov25",2024-11-25
"2","J100","JAM","W-OWW","pollen collection",1,1,1,"SD1_jan16",2025-01-16
"3","J100","JAM","No ID  65","vigilance",2,3,3,"SD3_feb4",2025-02-04
"4","J100","JAM","No ID  66","pollen collection, vigilance",2,3,3,"SD3_feb4",2025-02-04
"5","J100","JAM","W-OWW","pollen collection",2,3,3,"SD3_feb4",2025-02-04
"6","J11","JAM","Unknown","vigilance",0,1,1,"GP1_dec10",2024-12-10
"7","J15","JAM","GGW","pollen collection",1,1,1,"GP4_nov19",2024-11-19
"8","J16","JAM","PrBP-W","pollen collection, vigilance",1,1,1,"GP2_dec2",2024-12-02
"9","J18","JAM","No ID  4","vigilance and/or pollen collection",2,3,3,"GP1_nov14",2024-11-14
"10","J18","JAM","No ID  5","pollen collection",2,3,3,"GP1_nov14",2024-11-14
"11","J18","JAM","No ID  6","vigilance",2,3,3,"GP1_nov14",2024-11-14
"12","J18","JAM","No ID  7","vigilance",1,3,3,"C1_nov18",2024-11-18
"13","J18","JAM","No ID  8","vigilance and/or pollen collection",1,3,3,"C1_nov18",2024-11-18
"14","J18","JAM","W-WWG","vigilance and/or pollen collection",1,3,3,"C1_nov18",2024-11-18
"15","J18","JAM","No ID  12","leaving nest",0,1,2,"C2_nov18",2024-11-18
"16","J18","JAM","No ID  13","vigilance",0,1,2,"C2_nov18",2024-11-18
"17","J18","JAM","No ID  14","pollen collection, vigilance",2,2,2,"GP1_nov19",2024-11-19
"18","J18","JAM","W-WWG","pollen collection",2,2,2,"GP1_nov19",2024-11-19
"19","J18","JAM","No ID  16","pollen collection, vigilance",2,2,2,"GP4_nov19",2024-11-19
"20","J18","JAM","W-WWG","pollen collection",2,2,2,"GP4_nov19",2024-11-19
"21","J18","JAM","G-OGP","pollen collection, vigilance",2,2,2,"C2_nov25",2024-11-25
"22","J18","JAM","W-WWG","pollen collection",2,2,2,"C2_nov25",2024-11-25
"23","J18","JAM","Unknown markings","pollen collection, vigilance",1,1,1,"GP3_dec2",2024-12-02
"24","J18","JAM","Unknown","digging",1,1,1,"GP2_dec5",2024-12-05
"25","J18","JAM","Unknown","vigilance",0,1,1,"C1_dec17",2024-12-17
"26","J18","JAM","Unknown","vigilance",1,1,1,"SD1_jan6",2025-01-06
"27","J18","JAM","No ID  25","entering without pollen",0,2,2,"SD4_jan7",2025-01-07
"28","J18","JAM","Unknown","vigilance",0,2,2,"SD4_jan7",2025-01-07
"29","J18","JAM","No ID  32","vigilance",0,2,2,"SD1_jan15",2025-01-15
"30","J18","JAM","No ID  33","vigilance",0,2,2,"SD2_jan15",2025-01-15
"31","J18","JAM","No ID  37","vigilance and/or pollen collection",1,2,2,"SD3_jan16",2025-01-16
"32","J18","JAM","No ID  38","vigilance and/or pollen collection",1,2,2,"SD3_jan16",2025-01-16
"33","J19","JAM","No ID  3","pollen collection",1,1,1,"C1_nov12",2024-11-12
"34","J26","JAM","OBO-P","pollen collection, vigilance",1,1,1,"GP3_nov19",2024-11-19
"35","J26","JAM","OBO-P","pollen collection",1,1,1,"GP1_nov25",2024-11-25
"36","J26","JAM","No ID  20","pollen collection",1,1,1,"C3_dec17",2024-12-17
"37","J26","JAM","No ID  23","leaving nest",1,1,2,"SD2_jan6",2025-01-06
"38","J26","JAM","No ID  24","pollen collection",1,1,2,"SD2_jan6",2025-01-06
"39","J26","JAM","Male",NA,0,0,0,"SD4_jan15",2025-01-15
"40","J26","JAM","Male",NA,0,0,0,"SD1_jan28",2025-01-28
"41","J26","JAM","No ID  62","vigilance",0,1,1,"SD1_feb3",2025-02-03
"42","J32","JAM","Unknown","vigilance",0,1,1,"C1_dec17",2024-12-17
"43","J32","JAM","GPP","leaving nest",1,1,1,"SD1_jan6",2025-01-06
