"","Nest","Site","Num_females_same_day","Date_beehav","Nest_sociality_summary","Social_status_con","Social_status_lib"
"1","J00","JAM",1,2024-11-25,"only one female","solitary","solitary"
"2","J100","JAM",1,2025-01-16,"one then two females","solitary","solitary"
"3","J100","JAM",2,2025-02-04,NA,"social","social"
"4","J11","JAM",0,2024-12-10,"only vigilance from unknown female","solitary","solitary"
"5","J15","JAM",1,2024-11-19,"only one female","solitary","solitary"
"6","J16","JAM",1,2024-12-02,"only one female","solitary","solitary"
"7","J18","JAM",2,2024-11-14,"two females, then a third female. OGP and WWG last seen Nov 25, No ID collects pollen Jan 16","social","social"
"8","J18","JAM",1,2024-11-18,NA,"solitary","solitary"
"9","J18","JAM",2,2024-11-19,NA,"social","social"
"10","J18","JAM",2,2024-11-25,NA,"social","social"
"11","J18","JAM",1,2024-12-02,NA,"solitary","solitary"
"12","J18","JAM",1,2024-12-05,NA,"solitary","solitary"
"13","J18","JAM",0,2024-12-17,NA,"solitary","solitary"
"14","J18","JAM",1,2025-01-06,NA,"solitary","solitary"
"15","J18","JAM",0,2025-01-07,NA,"solitary","solitary"
"16","J18","JAM",0,2025-01-15,NA,"solitary","solitary"
"17","J18","JAM",1,2025-01-16,NA,"solitary","solitary"
"18","J19","JAM",1,2024-11-12,"only one female","solitary","solitary"
"19","J26","JAM",1,2024-11-19,"one female then another female. No ID filmed after OBO-P in Dec then assume same no ID in Jan","solitary","solitary"
"20","J26","JAM",1,2024-11-25,NA,"solitary","solitary"
"21","J26","JAM",1,2024-12-17,NA,"solitary","solitary"
"22","J26","JAM",1,2025-01-06,NA,"solitary","solitary"
"23","J26","JAM",0,2025-01-15,NA,"solitary","solitary"
"24","J26","JAM",0,2025-01-28,NA,"solitary","solitary"
"25","J26","JAM",0,2025-02-03,NA,"solitary","solitary"
"26","J32","JAM",0,2024-12-17,"only one female","solitary","solitary"
"27","J32","JAM",1,2025-01-06,NA,"solitary","solitary"
"28","J32","JAM",1,2025-01-07,NA,"solitary","solitary"
"29","J32","JAM",0,2025-01-15,NA,"solitary","solitary"
"30","J36","JAM",0,2024-11-18,"only one female","solitary","solitary"
"31","J36","JAM",1,2024-11-19,NA,"solitary","solitary"
"32","J38","JAM",0,2025-01-06,"only vigilance from unknown female","solitary","solitary"
"33","J42","JAM",1,2024-11-18,"only one female","solitary","solitary"
"34","J42","JAM",1,2024-11-19,NA,"solitary","solitary"
"35","J44","JAM",1,2024-11-25,"only one female","solitary","solitary"
"36","J44","JAM",0,2025-01-07,NA,"solitary","solitary"
"37","J44","JAM",0,2025-01-28,NA,"solitary","solitary"
"38","J44","JAM",0,2025-02-03,NA,"solitary","solitary"
"39","J45","JAM",1,2024-11-18,"only one female","solitary","solitary"
"40","J49","JAM",1,2024-11-12,"only one female","solitary","solitary"
"41","J50","JAM",1,2024-11-18,"only one female","solitary","solitary"
"42","J50","JAM",1,2024-11-25,NA,"solitary","solitary"
"43","J51","JAM",1,2025-01-06,"only one female, but another bee painted from this nest on same day","solitary","social"
"44","J51","JAM",1,2025-01-16,NA,"solitary","solitary"
"45","J53","JAM",0,2024-11-07,"no behaviour","solitary","solitary"
"46","J54","JAM",1,2024-11-07,"only one female","solitary","solitary"
"47","J54","JAM",0,2024-11-25,NA,"solitary","solitary"
"48","J54","JAM",0,2024-12-17,NA,"solitary","solitary"
"49","J54","JAM",0,2025-01-07,NA,"solitary","solitary"
"50","J57","JAM",1,2024-11-07,"only one female","solitary","solitary"
"51","J58","JAM",1,2024-11-07,"only one female","solitary","solitary"
"52","J58","JAM",1,2024-11-12,NA,"solitary","solitary"
"53","J58","JAM",1,2024-11-25,NA,"solitary","solitary"
"54","J58","JAM",1,2025-01-07,NA,"solitary","solitary"
"55","J58","JAM",0,2025-01-28,NA,"solitary","solitary"
"56","J60","JAM",0,2025-01-22,"no behaviour","solitary","solitary"
"57","J60","JAM",0,2025-01-28,NA,"solitary","solitary"
"58","J65","JAM",1,2024-11-25,"only one female","solitary","solitary"
"59","J65","JAM",1,2025-01-15,NA,"solitary","solitary"
"60","J65","JAM",1,2025-01-16,NA,"solitary","solitary"
"61","J66","JAM",1,2024-11-07,"only one female","solitary","solitary"
"62","J66","JAM",1,2024-11-18,NA,"solitary","solitary"
"63","J67","JAM",1,2024-11-12,"only one female","solitary","solitary"
