Nest,Site,Num_females_total_con,Num_females_total_mod,Num_females_total_lib,Num_females_total_added_IDs_con,Num_females_total_added_IDs_mod,Num_females_total_added_IDs_lib,Changes_from_ID_list,Notes
J00,JAM,1,1,1,1,1,1,,
J100,JAM,2,2,2,2,2,2,,
J11,JAM,1,1,1,1,2,2,2,two IDs from this nest but the unknown seen is just vigilance 
J15,JAM,1,1,1,1,1,1,,
J16,JAM,1,1,1,1,1,1,,
J18,JAM,4,4,4,4,4,4,4,* check if the unknowns are P-PPG
J19,JAM,1,1,1,1,1,1,,
J26,JAM,2,2,2,2,3,3,3,"painted a No ID on Jan 6, another No ID on Feb 3 doing vigilance "
J32,JAM,1,1,1,1,1,1,,
J36,JAM,1,1,1,2,2,2,2,painted OWO on Nov 6 then No ID on Nov 18 and 19 doing vigilance and digging
J38,JAM,1,1,1,1,1,1,,
J42,JAM,1,1,1,1,1,1,,
J44,JAM,1,1,1,2,2,2,2,painted PWW on Nov 7 then No ID collected pollen on Nov 18 and 25
J45,JAM,1,1,1,1,1,1,,
J49,JAM,1,1,1,1,1,1,,
J50,JAM,1,1,1,1,1,1,,
J51,JAM,1,1,1,1,1,2,2,O-WOW painted from here but never recorded 
J53,JAM,1,1,1,1,1,1,,
J54,JAM,1,1,1,1,1,1,,
J56,JAM,NA,NA,NA,2,2,2,2,two painted but never recorded
J57,JAM,1,1,1,1,1,1,,
J58,JAM,1,2,2,1,2,2,,
J60,JAM,0,0,0,1,1,1,1,OPG painted from here
J65,JAM,1,1,1,1,1,1,,
J66,JAM,1,1,1,2,2,2,2,PWP painted on Nov 7 then No ID seen collecting pollen Nov 18
J67,JAM,1,1,1,1,1,1,,
J71,JAM,1,1,1,1,1,1,,
J75,JAM,2,2,2,2,2,2,,
J80,JAM,1,1,1,1,1,1,,
J87,JAM,3,3,3,3,3,4,4,WPP painted on Dec 2 but not recorded
J89,JAM,1,1,1,1,1,1,,
J90,JAM,1,2,2,1,2,2,,
J91,JAM,3,3,3,3,3,3,,
J92,JAM,3,3,3,3,3,4,4,Y-WYW painted but never recorded
J98,JAM,1,1,1,1,1,1,,
K11,KB,1,1,1,1,1,1,,
K13,KB,1,1,2,1,1,2,,
K14,KB,1,1,1,1,1,1,,
K15,KB,1,1,1,1,2,2,2,"OOO painted Nov 28, then No ID seen entering without pollen and vigilance Jan 29"
K18,KB,1,1,1,1,2,2,2,"WWP painted Nov 28, then No ID seen being vigilant Jan 17 and 22"
K19,KB,1,1,1,1,1,1,,
K2,KB,1,1,1,1,1,1,,
K23,KB,2,2,2,2,2,2,,
K24,KB,1,1,1,1,1,1,,
K25,KB,1,1,1,1,1,1,,
K26,KB,1,1,1,1,2,2,2,OWW marked Dec 18th and No ID being vigilant Jan 17
K29,KB,1,1,1,1,1,1,,
K4,KB,2,2,2,2,2,2,,
K5,KB,1,1,1,1,1,1,,
K6,KB,1,1,1,1,1,1,,
K7,KB,1,1,1,1,1,1,,
K8,KB,2,2,2,2,2,2,,
