Nest,Site,Individual_ID,Behaviour,Day,Month,Year,Num_females_con,Num_females_mod,Num_females_lib,videos,,
J00,JAM,PBP,pollen collection,25,11,2024,1,1,1,GP2_nov25,,
J100,JAM,W-OWW,pollen collection,16,1,2025,1,1,1,SD1_jan16,,
J100,JAM,No ID  65,vigilance,4,2,2025,2,3,3,SD3_feb4,,
J100,JAM,No ID  66,"pollen collection, vigilance",4,2,2025,2,3,3,SD3_feb4,,
J100,JAM,W-OWW,pollen collection,4,2,2025,2,3,3,SD3_feb4,,
J11,JAM,Unknown,vigilance,10,12,2024,0,1,1,GP1_dec10,,
J15,JAM,GGW?,pollen collection,19,11,2024,1,1,1,GP4_nov19,,
J16,JAM,PrBPr-W,"pollen collection, vigilance",2,12,2024,1,1,1,GP2_dec2,,
J18,JAM,No ID  4,vigilance and/or pollen collection,14,11,2024,2,3,3,GP1_nov14,,
J18,JAM,No ID  5,pollen collection,14,11,2024,2,3,3,GP1_nov14,,
J18,JAM,No ID  6,vigilance,14,11,2024,2,3,3,GP1_nov14,,
J18,JAM,No ID  32,vigilance,15,1,2025,0,2,2,SD1_jan15,,
J18,JAM,No ID  33,vigilance,15,1,2025,0,2,2,SD2_jan15,,
J18,JAM,No ID  37,vigilance and/or pollen collection,16,1,2025,1,2,2,SD3_jan16,,
J18,JAM,No ID  38,vigilance and/or pollen collection,16,1,2025,1,2,2,SD3_jan16,,
J18,JAM,Unknown,vigilance,17,12,2024,0,1,1,C1_dec17,,
J18,JAM,No ID  7,vigilance,18,11,2024,1,3,3,C1_nov18,,
J18,JAM,No ID  8,vigilance and/or pollen collection,18,11,2024,1,3,3,C1_nov18,,
J18,JAM,W-WWG,vigilance and/or pollen collection,18,11,2024,1,3,3,C1_nov18,,
J18,JAM,No ID  12,leaving nest,18,11,2024,0,1,2,C2_nov18,,
J18,JAM,No ID  13,vigilance,18,11,2024,0,1,2,C2_nov18,,
J18,JAM,No ID  14,"pollen collection, vigilance",19,11,2024,2,2,2,GP1_nov19,,
J18,JAM,W-WWG,pollen collection,19,11,2024,2,2,2,GP1_nov19,,
J18,JAM,No ID  16,"pollen collection, vigilance",19,11,2024,2,2,2,GP4_nov19,,
J18,JAM,W-WWG,pollen collection,19,11,2024,2,2,2,GP4_nov19,,
J18,JAM,Unknown markings,"pollen collection, vigilance",2,12,2024,1,1,1,GP3_dec2,,
J18,JAM,G-OGP,"pollen collection, vigilance",25,11,2024,2,2,2,C2_nov25,,
J18,JAM,W-WWG,pollen collection,25,11,2024,2,2,2,C2_nov25,,
J18,JAM,Unknown,digging,5,12,2024,1,1,1,GP2_dec5,,
J18,JAM,Unknown,vigilance,6,1,2025,1,1,1,SD1_jan6,,
J18,JAM,No ID  25,entering without pollen,7,1,2025,0,2,2,SD4_jan7,,
J18,JAM,Unknown,vigilance,7,1,2025,0,2,2,SD4_jan7,,
J19,JAM,No ID  3,pollen collection,12,11,2024,1,1,1,C1_nov12,,
J26,JAM,Male,NA,15,1,2025,0,0,0,SD4_jan15,,
J26,JAM,No ID  20,pollen collection,17,12,2024,1,1,1,C3_dec17,,
J26,JAM,OBO-P,"pollen collection, vigilance",19,11,2024,1,1,1,GP3_nov19,,
J26,JAM,OBO-P,pollen collection,25,11,2024,1,1,1,GP1_nov25,,
J26,JAM,Male,NA,28,1,2025,0,0,0,SD1_jan28,,
J26,JAM,No ID  62,vigilance,3,2,2025,0,1,1,SD1_feb3,,
J26,JAM,No ID  23,leaving nest,6,1,2025,1,1,2,SD2_jan6,,
J26,JAM,No ID  24,pollen collection,6,1,2025,1,1,2,SD2_jan6,,
J32,JAM,No ID  34,vigilance,15,1,2025,0,1,1,SD1_jan15,,
J32,JAM,Unknown,vigilance,17,12,2024,0,1,1,C1_dec17,,
