Site,Nest_ID,Active_Nov_19,Old_photo
JAM,17,yes,yes
JAM,8,Don't think so,yes
JAM,20,Don't think so,no
JAM,14,Don't think so,yes
JAM,4,Don't think so,yes
JAM,33,yes,yes
JAM,24,?,no
JAM,29,?,no
JAM,30,Don't think so,no
JAM,35,Don't think so,no
JAM,2,no,yes
JAM,5,no,yes
JAM,23,Don't think so,yes
JAM,31,yes,yes
JAM,18,yes,yes
JAM,6,no,yes
JAM,3,no,yes
JAM,22,no,yes
JAM,75,Don't think so (*),yes
JAM,7,no,yes
JAM,42,no,yes
JAM,65,yes (?),yes
JAM,51,yes,yes
JAM,11,yes,yes
JAM,72,no,yes
JAM,42,Not OG but check paint vid,yes
JAM,47,yes,yes
JAM,68,yes,yes
JAM,64,yes (?),yes
JAM,40,no,yes
JAM,36,yes,yes
JAM,21,?,yes
JAM,46,?,no
JAM,28,yes,yes
JAM,67,no,no
JAM,73,yes (?),yes
JAM,63,no,no
JAM,25,no,yes
JAM,45,no,no
JAM,81,no,yes
JAM,61,Don't think so,no
JAM,74,?,yes
JAM,56,yes,yes
JAM,38,Don't think so,no
JAM,49,yes,yes
JAM,45,yes,no
JAM,19,no,yes
JAM,50,yes,yes
JAM,52,no,yes
JAM,41,no,yes
JAM,66,no,yes
JAM,71,yes,yes
JAM,80,yes(?),yes
JAM,62,yes,yes
JAM,59,no,yes
JAM,43,Don't think so,yes
JAM,13,Don't think so,yes
JAM,58,Don't think so,yes
JAM,57,?,yes
JAM,44,Don't think so,yes
JAM,80,yes,no
JAM,16,no,yes
JAM,32,no,yes
JAM,34,Can't find,
JAM,37,Can't find,
JAM,39,no,
JAM,62,,
JAM,69,,
JAM,77,,
JAM,78,,
