Date,Marking_code,Nest,Notes
25-Oct,none,1,
25-Oct,W ,3,
25-Oct,WBW,4,
25-Oct,RRG,5,
25-Oct,WRR,6,
25-Oct,OGO,7,
29-Oct,B,10,
29-Oct,WYG,11,
12-Nov,PWB,11,
29-Oct,OYR,12,
29-Oct,RYO,13,
14-Nov,GGW,15,Not flying well
06-Nov,PuBPu-W,16,added white to abdomen Nov 12
06-Nov,BGW,17,
18-Nov,W-WWG,18,White on clypeus
25-Nov,G-OGP,18,Green on clypeus
06-Nov,BWB ,20,looks BBB
06-Nov,YYW,21,wings glued
06-Nov,OYR,25,
06-Nov,OBO-P,26,Added pink to OBO on Nov 25
06-Jan,P-POB,26,
06-Nov,BOO,27,
06-Nov,GBB,30,
02-Dec,GPP,32,
06-Nov,GWW (wings glued),33,
06-Nov,YBY,35,
06-Nov,OWO,36,
06-Nov,WOO,38,
06-Nov,OOB,40,
07-Nov,POO,42,
07-Nov,PPO,43,
07-Nov,PWW,44,
07-Nov,WWP,46,
07-Nov,PBB (wings glued),47,
07-Nov,GGP,48,
07-Nov,WPW,49,
07-Nov,OOO,50,
06-Jan,O-WOW,51,
06-Jan,Y-PPY,51,
07-Nov,OOG,53,
07-Nov,WWO,54,
07-Nov,PGG - P,55,"added pink to abdomen Nov 12, green faded"
07-Nov,PGP,56,
07-Nov,BWW,56,
07-Nov,PPB,57,
07-Nov,PPW,58,
18-Nov,GPW,59,
12-Nov,OPG,60,
07-Nov,PPP,63,
07-Nov,OGG,64,
07-Nov,GOO,65,
07-Nov,PWP,66,
12-Nov,POG,67,
07-Nov,GOG,68,
12-Nov,WGO,70,
07-Nov,POP,71,
07-Nov,WWB,72,
18-Nov,GWG,75,
12-Nov,OWB,76,
12-Nov,GBG,79,
12-Nov,WBP,80,
02-Dec,BGG,86,
02-Dec,WPP,87,
02-Dec,PBG,87,
06-Jan,Y-YPP,87,
06-Jan,G-WGW,89,
06-Jan,G-GOW,90,
06-Jan,W-PWO,91,
25-Oct,WGB,?,
25-Oct,R - Y on abdomen,?,
29-Oct,GY-,?,
06-Nov,OOW,28?,
02-Dec,BBO,75 (social),
07-Nov,PiBPi,Exited 52 with pollen,
15-Jan,W-OWW,100,
16-Jan,O-OBB,92,
16-Jan,P-OOP-O,91,
16-Jan,Y-WYW,92,
16-Jan,P-PPG,18,
22-Jan,B-BPP,forgot to tag nest,
28-Jan,O-GGO,paint for video,
28-Jan,B-BPP,92,
28-Jan,O-YYO,93,
28-Jan,Y-BBY,94,
