"","Num_ID","Slide_code","Site","Season","Adoxaceae","Asteraceae","Brassicaceae","Caprifoliaceae","Caryophyllaceae","Cucurbitaceae","Fabaceae","Iridaceae","Lamiaceae","Liliaceae","Myrtaceae","Onagraceae","Plantaginaceae","Polygonaceae","Primulaceae","Ranunculaceae","Rosaceae","Rutaceae","Solanaceae","Tropaeolaceae","Argophyllaceae","Asphodelaceae","Celastraceae","Geraniaceae","Asparagaceae","Boraginaceae","Linaceae","Orobanchaceae","Papaveraceae","Violaceae"
"1","J-66","J-219","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"2","J-67","J-271","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"3","J-25","J-210","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"4","J-22","J-231","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"5","J-66","J-113","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"6","J-85","J-254","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"7","J-51","J-206","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"8","J-77","J-182","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"9","J-67","J-197","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"10","J-40","J-145","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"11","J-71","J-193","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"12","J-70","J-137","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"13","J-73","J-203","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"14","J-40","J-208","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"15","J-70","J-250","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"16","J-72","J-226","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"17","J-74","J-199","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"18","J-83","J-199","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"19","J-72","J-133","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"20","J-70","J-249","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
