"","Site","Subsite","Range","Season","Date","Common_name","Subtype","Family","Abundance_for50","Abundance_for200"
"1","JAM","JAM","50m","early/mid","Dec 2 2024","viburmum (fruiting)","Adoxaceae","Adoxaceae",3,NA
"2","JAM","JAM","50m","early/mid","Nov 27 2024","daisy","Bellis","Asteraceae",5,NA
"3","JAM","JAM","50m","early/mid","Nov 27 2024","cabbage","Brassica","Brassicaceae",1,NA
"4","JAM","JAM","50m","early/mid","Dec 2 2024","honeysuckle","Caprifoliaceae","Caprifoliaceae",2,NA
"5","JAM","JAM","50m","early/mid","Nov 27 2024","sheperd's purses","Capsella","Brassicaceae",5,NA
"6","JAM","JAM","50m","early/mid","Nov 27 2024","peppers","Capsicum","Solanaceae",1,NA
"7","JAM","JAM","50m","early/mid","Nov 27 2024",NA,"Carmichaelia","Fabaceae",3,NA
"8","JAM","JAM","50m","early/mid","Nov 27 2024","chickweed","Cerastium","Caryophyllaceae",4,NA
"9","JAM","JAM","50m","early/mid","Nov 27 2024","dandelion","Cichorieae","Asteraceae",4,NA
"10","JAM","JAM","50m","early/mid","Nov 27 2024",NA,"Corokia","Argophyllaceae",2,NA
"11","JAM","JAM","50m","early/mid","Nov 27 2024","willowherbs","Epilobium","Onograceae",1,NA
"12","JAM","JAM","50m","early/mid","Nov 27 2024","stork bill","Erodium","Geraniaceae",2,NA
"13","JAM","JAM","50m","early/mid","Nov 27 2024","spindle","Euonymus","Celastraceae",3,NA
"14","JAM","JAM","50m","early/mid","Nov 27 2024","strawberry","Fragaria","Rosaceae",2,NA
"15","JAM","JAM","50m","early/mid","Nov 27 2024","tea tree manuka","Leptospermum","Myrtaceae",2,NA
"16","JAM","JAM","50m","early/mid","Nov 27 2024","honeysuckle","Leycesteria","Caprifoliaceae",2,NA
"17","JAM","JAM","50m","early/mid","Nov 27 2024",NA,"Lysimachia","Primulaceae",2,NA
"18","JAM","JAM","50m","early/mid","Nov 27 2024",NA,"Ozothamnus","Asteraceae",2,NA
"19","JAM","JAM","50m","early/mid","Nov 27 2024","flax","Phormium","Asphodelaceae",2,NA
"20","JAM","JAM","50m","early/mid","Dec 2 2024","plaintain grass","Plantago","Plantaginaceae",5,NA
"21","JAM","JAM","50m","early/mid","Nov 27 2024","buttercup","Ranunculus","Ranunculaceae",5,NA
"22","JAM","JAM","50m","early/mid","Nov 27 2024","brambles","Rubus","Rosaceae",2,NA
