Date,ID,Notes
03-Feb,B-BPP,
05-Dec,BBO,
05-Dec,BGG,
18-Nov,BWW,
18-Nov,GBG,
19-Nov,GBG,
07-Nov,GGP,
12-Nov,GGP,
25-Nov,GGP,"2 samples, one with jelly, save time"
19-Nov,GOO,
07-Jan,GPP,
28-Jan,O-OBB,
03-Feb,O-OBB,
07-Nov,OBO,
18-Nov,OBO,
12-Nov,OGG,
18-Nov,OGG,
25-Nov,OGG,
07-Jan,OGG,
07-Nov,OOO,
12-Nov,OOO,
25-Nov,OOO,
18-Nov,OPG,
25-Nov,OPG,
04-Feb,OWW,
16-Jan,P-OOP,
06-Jan,P-PBG,
07-Jan,P-PBG,
07-Jan,P-POB,
18-Nov,PGG-P,Tried to catch again & killed her :(
07-Nov,PiBPi,"exited a nest with pollen, pink paint"
12-Nov,PiBPi,
05-Dec,PiBPi,
18-Nov,POG,
19-Nov,POG,
07-Nov,POO,
12-Nov,POO,
19-Nov,POO,
25-Nov,POO,
12-Nov,POP,
18-Nov,POP,
12-Nov,PPB,blue paint appears white
10-Dec,PPB,
02-Dec,PPG,
07-Nov,PPO,
12-Nov,PPW,
18-Nov,PuBPu-W,purple paint
25-Nov,PuBPu-W,
14-Nov,PWB,
07-Nov,W,
02-Dec,W,"J3 has not been active for a few weeks, may have sealed j3 and started new new j85"
05-Dec,W,
15-Jan,W-OWW,
16-Jan,W-PWO,
22-Jan,W-PWO,
03-Feb,W-PWO,
19-Nov,W-WWG,
25-Nov,W-WWG,
25-Nov,WBP,
18-Nov,WGO,
19-Nov,WGO,
25-Nov,WGO,
05-Dec,WGO,
12-Nov,WWO,
07-Nov,WWP,
02-Dec,WWP,
05-Dec,WWP,
15-Jan,Y-PPY,
16-Jan,Y-PPY,
16-Jan,Y-WYW,
07-Jan,Y-YPP,
15-Jan,Y-YPP,
07-Jan,Y-YYY,Died
