"","Nest","Bee_ID","Site","Date_pollen","Richness_ind_mean","Richness_ind","Social_status_at_time_con","Social_status_at_time_lib"
"1","J100","JAM_W-OWW","JAM",2025-01-15,4.25,3,"solitary","solitary"
"2","J54","JAM_WWO","JAM",2024-11-12,3,3,"solitary","solitary"
"3","J91","JAM_P-OOP-O","JAM",2025-01-16,1,1,"social","social"
"4","J42","JAM_POO","JAM",2024-11-25,3.61538461538462,3,"solitary","solitary"
"5","J58","JAM_PPW","JAM",2024-11-12,1,1,"solitary","solitary"
"6","K8","KB_WWG","KB",2024-12-03,1,1,"solitary","solitary"
"7","J67","JAM_POG","JAM",2024-11-18,1.66666666666667,1,"solitary","solitary"
"8","J71","JAM_POP","JAM",2024-11-18,1.66666666666667,1,"solitary","solitary"
"9","J26","JAM_OBO-P","JAM",2024-11-07,2.5,1,"solitary","solitary"
"10","J42","JAM_POO","JAM",2024-11-12,3.61538461538462,3,"solitary","solitary"
"11","J18","JAM_W-WWG","JAM",2024-11-19,1.66666666666667,1,"social","social"
"12","J42","JAM_POO","JAM",2024-11-07,3.61538461538462,2,"solitary","solitary"
"13","J16","JAM_PrBP-W","JAM",2024-11-18,1.66666666666667,2,"solitary","solitary"
"14","J91","JAM_W-PWO","JAM",2025-01-22,1.5,2,"social","social"
"15","J57","JAM_PPB","JAM",2024-11-12,2,2,"solitary","solitary"
"16","J50","JAM_OOO","JAM",2024-11-07,1.5,1,"solitary","solitary"
"17","J00","JAM_PiBP","JAM",2024-12-05,2.2,3,"solitary","solitary"
"18","J71","JAM_POP","JAM",2024-11-12,1.66666666666667,2,"solitary","solitary"
"19","K11","KB_PWP","KB",2024-12-04,1,1,"solitary","solitary"
"20","J75","JAM_BBO","JAM",2024-12-05,1,1,"solitary","social"
"21","J92","JAM_O-OBB","JAM",2025-01-28,1.66666666666667,1,"social","social"
"22","J18","JAM_W-WWG","JAM",2024-11-25,1.66666666666667,2,"social","social"
"23","J67","JAM_POG","JAM",2024-11-19,1.66666666666667,2,"solitary","solitary"
"24","J87","JAM_Y-YPP","JAM",2025-01-07,1,1,"social","social"
"25","J80","JAM_WBP","JAM",2024-11-25,3,3,"solitary","solitary"
"26","J91","JAM_W-PWO","JAM",2025-01-16,1.5,1,"social","social"
"27","J87","JAM_Y-YPP","JAM",2025-01-15,1,1,"solitary","solitary"
"28","J65","JAM_GOO","JAM",2024-11-19,1,1,"solitary","solitary"
"29","J42","JAM_POO","JAM",2024-11-19,3.61538461538462,5,"solitary","solitary"
"30","J51","JAM_Y-PPY","JAM",2025-01-15,1,1,"solitary","solitary"
"31","J26","JAM_OBO-P","JAM",2024-11-18,2.5,3,"solitary","solitary"
"32","J100","JAM_W-OWW","JAM",2025-02-04,4.25,5,"social","social"
"33","J00","JAM_PiBP","JAM",2024-11-12,2.2,1,"solitary","solitary"
"34","J32","JAM_GPP","JAM",2025-01-07,1,1,"solitary","solitary"
"35","J51","JAM_Y-PPY","JAM",2025-01-16,1,1,"solitary","solitary"
"36","J92","JAM_O-OBB","JAM",2025-02-03,1.66666666666667,2,"social","social"
"37","J87","JAM_P-PBG","JAM",2025-01-07,1.66666666666667,2,"social","social"
"38","J57","JAM_PPB","JAM",2024-12-05,2,2,"solitary","solitary"
"39","J87","JAM_P-PBG","JAM",2025-01-06,1.66666666666667,1,"solitary","solitary"
"40","J16","JAM_PrBP-W","JAM",2024-11-25,1.66666666666667,1,"solitary","solitary"
"41","J91","JAM_W-PWO","JAM",2025-02-03,1.5,1,"solitary","solitary"
"42","J50","JAM_OOO","JAM",2024-11-12,1.5,2,"solitary","solitary"
"43","J00","JAM_PiBP","JAM",2024-11-07,2.2,1,"solitary","solitary"
"44","J50","JAM_OOO","JAM",2024-11-25,1.5,1,"solitary","solitary"
