"","Nest","Site","Richness_nest","Social_status_at_time_con","Social_status_at_time_lib"
"1","J54","JAM",3,"solitary","solitary"
"2","J91","JAM",4,"social","social"
"3","J42","JAM",7,"solitary","solitary"
"4","J58","JAM",1,"solitary","solitary"
"5","K8","KB",1,"solitary","solitary"
"6","J67","JAM",2,"solitary","solitary"
"7","J71","JAM",3,"solitary","solitary"
"8","J26","JAM",4,"solitary","solitary"
"9","J18","JAM",3,"social","social"
"10","J16","JAM",2,"solitary","solitary"
"11","J57","JAM",4,"solitary","solitary"
"12","J50","JAM",4,"solitary","solitary"
"13","J00","JAM",5,"solitary","solitary"
"14","K11","KB",1,"solitary","solitary"
"15","J75","JAM",1,"solitary","social"
"16","J92","JAM",3,"social","social"
"17","J87","JAM",4,"social","social"
"18","J80","JAM",3,"solitary","solitary"
"19","J65","JAM",1,"solitary","solitary"
"20","J51","JAM",1,"solitary","solitary"
"21","J100","JAM",7,"social","social"
"22","J32","JAM",1,"solitary","solitary"
