Code,Bee_ID,Site,Date,Pollen_colour
170,PBP (pink),JAM,07-Nov,light yellow
202,W,JAM,07-Nov,medium yellow
221,OOO,JAM,07-Nov,light yellow
187,OBO,JAM,07-Nov,light yellow
265,GGP,JAM,07-Nov,medium yellow
195,WWP,JAM,07-Nov,medium yellow
148,POO,JAM,07-Nov,dark yellow
267,PPO,JAM,07-Nov,medium yellow
247,PPB,JAM,12-Nov,dark yellow
130,PBP (pink),JAM,12-Nov,medium yellow
161,OOO,JAM,12-Nov,medium yellow
258,OGG,JAM,12-Nov,medium yellow
212,PPW,JAM,12-Nov,dark yellow
241,WWO,JAM,12-Nov,dark yellow
120,POO,JAM,12-Nov,light yellow
269,POP,JAM,12-Nov,medium yellow
183,GGP,JAM,12-Nov,dark yellow
205,PWB,JAM,14-Nov,dark yellow
128,PGG-P,JAM,18-Nov,medium yellow
189,WGO,JAM,18-Nov,light yellow
156,BWW,JAM,18-Nov,dark yellow
159,POG,JAM,18-Nov,light yellow
162,OPG,JAM,18-Nov,light yellow
240,OGG,JAM,18-Nov,light yellow
116,OBO,JAM,18-Nov,dark yellow
149,PBP-W,JAM,18-Nov,medium yellow
196,POP,JAM,18-Nov,light yellow
253,GBG,JAM,18-Nov,medium yellow
299,POG,JAM,19-Nov,medium yellow
124,WGO,JAM,19-Nov,light yellow
201,GBG,JAM,19-Nov,medium yellow
129,GOO,JAM,19-Nov,dark yellow
235,POO,JAM,19-Nov,medium yellow
291,W-WWG,JAM,19-Nov,light yellow
143,WBP,JAM,25-Nov,
154,OOO,JAM,25-Nov,medium yellow
178,GGP,JAM,25-Nov,light yellow
255,PBP-W,JAM,25-Nov,dark yellow
222,POO,JAM,25-Nov,medium yellow
233,W-WWG,JAM,25-Nov,light yellow
211,OGG,JAM,25-Nov,light yellow
279,WGO,JAM,25-Nov,dark yellow
155,OPG,JAM,25-Nov,light yellow
290,WWP,JAM,02-Dec,dark yellow
186,W,JAM,02-Dec,dark yellow
230,PPG,JAM,02-Dec,dark yellow
219,P-PBG,JAM,06-Jan,light yellow
254,Y-YYY,JAM,07-Jan,light yellow
113,P-PBG,JAM,07-Jan,light yellow
231,P-POB,JAM,07-Jan,light yellow
210,GPP,JAM,07-Jan,dark yellow
271,Y-YPP,JAM,07-Jan,light yellow
206,OGG,JAM,07-Jan,medium yellow
182,W-OWW,JAM,15-Jan,medium yellow
197,Y-YPP,JAM,15-Jan,dark yellow
145,Y-PPY,JAM,15-Jan,medium yellow
137,W-PWO,JAM,16-Jan,dark yellow
193,P-OOP,JAM,16-Jan,light yellow
203,Y-WYW,JAM,16-Jan,medium yellow
208,Y-PPY,JAM,16-Jan,medium yellow
250,W-PWO,JAM,22-Jan,medium yellow
226,O-OBB,JAM,28-Jan,dark yellow
199,B-BPP,JAM,03-Feb,light yellow
133,O-OBB,JAM,03-Feb,medium yellow
249,W-PWO,JAM,03-Feb,medium yellow
256,OWW,JAM,04-Feb,dark yellow
273,GGB,KB,03-Dec,light yellow
167,WWG,KB,03-Dec,light yellow
261,OOO,KB,03-Dec,light yellow
153,PPW,KB,03-Dec,light yellow
122,PWP,KB,04-Dec,light yellow
146,GGW,KB,18-Dec,light yellow
140,OOB,KB,17-Jan,light yellow
147,WGO,JAM,05-Dec,medium yellow
213,PBP,JAM,05-Dec,dark yellow
266,PBB,KB,04-Dec,light yellow
117,WBW,KB,04-Dec,light yellow
190,WWP,JAM,05-Dec,light yellow
150,BBO,JAM,05-Dec,dark yellow
164,PPB,JAM,05-Dec,medium yellow
242,OBB,KB,18-Dec,light yellow
243,BGG,JAM,05-Dec,dark yellow
204,W,JAM,05-Dec,medium yellow
