Slide_code,Family,Subtype,Count
J-182,Ranunculaceae,Ranunculus,51
J-182,Asteraceae,Cichorieae,84
J-182,Primulaceae,Lysimachia,161
J-182,Asteraceae,Type 1,2
J-182,Unknown,Unknown,2
J-241,Ranunculaceae,Ranunculus,191
J-241,Caryophyllaceae,Not specified,41
J-241,Asteraceae,Type 1,68
J-193,Rosaceae,Rubus,299
J-193,Asteraceae,Type 1,1
J-253,Ranunculaceae,Ranunculus,148
J-253,Rosaceae,Rubus,152
J-222,Iridaceae,Type 1,72
J-222,Plantaginaceae,Plantago ,1
J-222,Iridaceae,Type 2,1
J-222,Asteraceae,Type 1,220
J-222,Ranunculaceae,Ranunculus,6
J-240,Ranunculaceae,Ranunculus,3
J-240,Plantaginaceae,Plantago ,295
J-240,Grass,Not specified,1
J-240,Asteraceae,Type 1,1
J-212,Ranunculaceae,Ranunculus,300
J-186,Ranunculaceae,Ranunculus,300
K-167,Unknown 1,Type 1,300
J-159,Plantaginaceae,Plantago ,299
J-159,Ranunculaceae,Ranunculus,1
J-128,Ranunculaceae,Ranunculus,115
J-128,Asteraceae,Type 1,90
J-128,Plantaginaceae,Plantago ,95
J-196,Myrtaceae,Not specified,299
J-196,Asteraceae,Type 1,1
J-187,Rosaceae,Pyracantha,300
J-120,Caryophyllaceae,Not specified,64
J-120,Ranunculaceae,Ranunculus,132
J-120,Asteraceae,Type 1,104
J-291,Plantaginaceae,Plantago ,300
J-148,Ranunculaceae,Ranunculus,134
J-148,Asteraceae,Type 1,166
J-189,Plantaginaceae,Plantago ,243
J-189,Ranunculaceae,Ranunculus,3
J-189,Asteraceae,Type 1,37
J-189,Caryophyllaceae,Not specified,17
J-149,Ranunculaceae,Ranunculus,279
J-149,Asteraceae,Type 1,19
J-149,Plantaginaceae,Plantago ,2
J-279,Asteraceae,Type 1,298
J-279,Ranunculaceae,Ranunculus,2
J-250,Asteraceae,Cichorieae,105
J-250,Plantaginaceae,Plantago ,195
K-273,Polygonaceae,Muehlenbeckia,292
K-273,Ericaceae,Rhododendron,8
J-156,Amaryllidaceae,Not specified,300
J-202,Argophyllaceae,Corokia,300
J-162,Ranunculaceae,Ranunculus,193
J-162,Asteraceae,Type 1,46
J-162,Caryophyllaceae,Not specified,17
J-162,Plantaginaceae,Plantago ,44
J-247,Ranunculaceae,Ranunculus,92
J-247,Asteraceae,Type 1,208
J-221,Asteraceae,Type 1,300
J-206,Asteraceae,Type 2,291
J-206,Asteraceae,Type 1,4
J-206,Brassicaceae,Not specified,2
J-206,Plantaginaceae,Plantago ,3
J-183,Ranunculaceae,Ranunculus,18
J-183,Asteraceae,Type 1,241
J-183,Caryophyllaceae,Not specified,41
J-195,Ranunculaceae,Ranunculus,298
J-195,Asteraceae,Type 1,2
J-205,Ranunculaceae,Ranunculus,300
J-213,Brassicaceae,Not specified,80
J-213,Ranunculaceae,Ranunculus,161
J-213,Asteraceae,Type 1,55
J-213,Asteraceae,Cichorieae,1
J-213,Plantaginaceae,Plantago ,1
J-213,Grass,Not specified,2
K-266,Polygonaceae,Muehlenbeckia,94
K-266,Unknown 2,Type 2,206
J-147,Asteraceae,Cichorieae,1
J-147,Ranunculaceae,Ranunculus,264
J-147,Asteraceae,Type 1,34
J-147,Plantaginaceae,Plantago ,1
J-190,Plantaginaceae,Plantago ,214
J-190,Ranunculaceae,Ranunculus,86
K-117,Polygonaceae,Muehlenbeckia,300
J-178,Asteraceae,Type 1,1
J-178,Plantaginaceae,Plantago ,299
J-155,Plantaginaceae,Plantago ,264
J-155,Brassicaceae,Not specified,36
J-269,Ranunculaceae,Ranunculus,292
J-269,Asteraceae,Cichorieae,2
J-269,Asteraceae,Type 1,6
K-122,Unknown 1,Type 1,300
J-150,Asteraceae,Type 1,299
J-150,Ranunculaceae,Ranunculus,1
J-226,Asteraceae,Cichorieae,300
J-124,Plantaginaceae,Plantago ,300
J-233,Ranunculaceae,Ranunculus,170
J-233,Asteraceae,Cichorieae,1
J-233,Asteraceae,Type 1,2
J-233,Brassicaceae,Not specified,127
J-299,Ranunculaceae,Ranunculus,138
J-299,Plantaginaceae,Plantago ,161
J-299,Asteraceae,Type 1,1
J-211,Plantaginaceae,Plantago ,279
J-211,Caryophyllaceae,Not specified,17
J-211,Ranunculaceae,Ranunculus,4
J-230,Ranunculaceae,Ranunculus,293
J-230,Asteraceae,Type 1,4
J-230,Plantaginaceae,Plantago ,3
J-271,Plantaginaceae,Plantago ,300
J-290,Ranunculaceae,Ranunculus,27
J-290,Asteraceae,Type 1,265
J-290,Plantaginaceae,Plantago ,8
J-143,Ranunculaceae,Ranunculus,8
