"","Site","Bee_ID","Slide_code","Family","Subtype","Count","Pollen_colour","Date_pollen","Day_of_season","Num_of_samples","Count_scaled","Num_of_subtypes","Season","Abundance_for50","Abundance_for200","Num_ID"
"1","JAM","JAM_POO","J-148","Ranunculaceae","Ranunculus",134,"dark yellow",2024-11-07,1,4,134,2,"early/mid",5,5,"J.31"
"2","JAM","JAM_W","J-202","Argophyllaceae","Corokia",300,"medium yellow",2024-11-07,1,3,300,1,"early/mid",2,3,"J.2"
"3","JAM","JAM_WWP","J-195","Ranunculaceae","Ranunculus",298,"medium yellow",2024-11-07,1,3,300,1,"early/mid",5,5,"J.34"
"4","JAM","JAM_GGP","J-265","Ranunculaceae","Ranunculus",138,"medium yellow",2024-11-07,1,3,139,2,"early/mid",5,5,"J.36"
"5","JAM","JAM_PPO","J-267","Ranunculaceae","Ranunculus",295,"medium yellow",2024-11-07,1,1,295,2,"early/mid",5,5,"J.32"
"6","JAM","JAM_OBO-P","J-187","Rosaceae","Pyracantha",300,"light yellow",2024-11-07,1,2,300,1,"early/mid",0,2,"J.21"
"7","JAM","JAM_POO","J-148","Asteraceae","Asteraceae",166,"dark yellow",2024-11-07,1,4,166,2,"early/mid",5,5,"J.31"
"8","JAM","JAM_OOO","J-221","Asteraceae","Asteraceae",300,"light yellow",2024-11-07,1,3,300,1,"early/mid",5,5,"J.38"
"9","JAM","JAM_GGP","J-265","Unknown_4","Unknown_4",159,"medium yellow",2024-11-07,1,3,161,2,NA,NA,NA,"J.36"
"10","JAM","JAM_PPO","J-267","Asteraceae","Asteraceae",5,"medium yellow",2024-11-07,1,1,5,2,"early/mid",5,5,"J.32"
"11","JAM","JAM_PiBP","J-170","Unknown_6","Unknown_6",300,"light yellow",2024-11-07,1,3,300,1,NA,NA,NA,"J.82"
"12","JAM","JAM_WWO","J-241","Ranunculaceae","Ranunculus",191,"dark yellow",2024-11-12,6,1,191,3,"early/mid",5,5,"J.42"
"13","JAM","JAM_PPW","J-212","Ranunculaceae","Ranunculus",300,"dark yellow",2024-11-12,6,1,300,1,"early/mid",5,5,"J.47"
